Andys Auto Group - Carvana v2|123 CC Drive|123-456-7890
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
55210|2018|Toyota|Camry|Sedan|Blue|62400|18500.00
88321|2015|Chevrolet|Silverado|Truck|Black|115000|21500.00
99043|2010|Mazda|Miata||Silver|88200|12450.00
12455|2023|Rivian|R1T|Truck|Green|4500|74900.00
66782|2017|Jeep|Wrangler|SUV|Orange|54000|28900.00
11223|2022|Lucid|Air|Sedan|Red|8200|89000.00
44556|2024|Kia|EV9|SUV|Blue|500|65000.00
22331|2019|Lexus|RX 350|SUV|White|48000|34000.00
